Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,6.375,6.1875,6.1875,6.34375,151400.0,3.2555429935455322
2000-01-03,6.15625,5.875,6.15625,5.96875,571200.0,3.0630972385406494
2000-01-04,6.15625,5.90625,5.90625,6.125,559800.0,3.143282890319824
2000-01-05,6.25,6.0625,6.125,6.171875,1541400.0,3.167339324951172
2000-01-06,6.21875,6.125,6.125,6.15625,233200.0,3.159320116043091
2000-01-07,6.21875,6.125,6.1875,6.125,532400.0,3.143282890319824
2000-01-10,6.21875,6.125,6.15625,6.15625,346800.0,3.159320116043091
2000-01-11,6.1875,6.09375,6.15625,6.125,363000.0,3.143282890319824
2000-01-12,6.15625,6.0625,6.125,6.09375,379800.0,3.1272454261779785
2000-01-13,6.15625,6.0,6.09375,6.125,504000.0,3.143282890319824
2000-01-14,6.21875,6.125,6.125,6.1875,604200.0,3.1753578186035156
2000-01-18,6.34375,6.1875,6.25,6.21875,659200.0,3.1913928985595703
2000-01-19,6.21875,6.09375,6.1875,6.09375,304800.0,3.1272454261779785
2000-01-20,6.25,6.09375,6.15625,6.09375,328400.0,3.1272454261779785
2000-01-21,6.15625,6.03125,6.125,6.0625,277200.0,3.111208915710449
2000-01-24,6.09375,5.875,6.09375,5.96875,795600.0,3.0630972385406494
2000-01-25,6.0,5.875,5.96875,6.0,270000.0,3.0791330337524414
2000-01-26,6.0625,5.9375,5.96875,5.96875,396600.0,3.0630972385406494
2000-01-27,6.125,5.96875,6.0,6.0625,381800.0,3.111208915710449
2000-01-28,6.0625,5.9375,6.0625,5.9375,328600.0,3.04706072807312
2000-01-31,6.125,5.90625,5.90625,6.03125,329600.0,3.0951712131500244
2000-02-01,6.03125,5.9375,6.03125,5.9375,177000.0,3.04706072807312
2000-02-02,6.0,5.875,5.96875,5.9375,529800.0,3.04706072807312
2000-02-03,5.96875,5.84375,5.9375,5.9375,509800.0,3.04706072807312
2000-02-04,6.0,5.875,5.9375,5.90625,276800.0,3.0310218334198
2000-02-07,6.0,5.875,5.9375,5.875,873000.0,3.014984607696533
2000-02-08,5.9375,5.78125,5.9375,5.875,738600.0,3.014984607696533
2000-02-09,6.0,5.8125,5.8125,5.90625,395800.0,3.0310218334198
2000-02-10,5.90625,5.78125,5.875,5.875,844800.0,3.014984607696533
2000-02-11,5.96875,5.8125,5.8125,5.9375,960000.0,3.04706072807312
2000-02-14,6.0,5.875,5.96875,5.9375,1608600.0,3.04706072807312
2000-02-15,5.9375,5.8125,5.9375,5.875,1348400.0,3.014984607696533
2000-02-16,5.875,5.78125,5.875,5.875,530600.0,3.014984607696533
2000-02-17,5.90625,5.71875,5.8125,5.78125,1830400.0,2.966874122619629
2000-02-18,5.84375,5.65625,5.8125,5.71875,959400.0,2.934800148010254
2000-02-22,5.59375,5.125,5.59375,5.40625,841200.0,2.774428367614746
2000-02-23,5.5,5.28125,5.3125,5.46875,619800.0,2.806502342224121
2000-02-24,5.5,5.40625,5.46875,5.46875,460200.0,2.806502342224121
2000-02-25,5.53125,5.4375,5.46875,5.5,444000.0,2.822539806365967
2000-02-28,5.875,5.4375,5.4375,5.84375,558400.0,2.998947858810425
2000-02-29,6.21875,5.84375,5.875,6.1875,1494600.0,3.1753578186035156
2000-03-01,6.15625,5.875,6.03125,6.03125,1016400.0,3.0951712131500244
2000-03-02,6.0625,5.90625,6.03125,5.9375,482000.0,3.04706072807312
2000-03-03,6.0,5.90625,5.96875,6.0,554200.0,3.0791330337524414
2000-03-06,6.03125,5.9375,5.9375,6.0,813000.0,3.0791330337524414
2000-03-07,6.03125,5.9375,6.0,6.0,1120200.0,3.0791330337524414
2000-03-08,6.09375,6.0,6.09375,6.0625,568400.0,3.111208915710449
2000-03-09,6.21875,6.03125,6.0625,6.1875,623400.0,3.1753578186035156
2000-03-10,6.21875,6.125,6.1875,6.125,605000.0,3.143282890319824
2000-03-13,6.125,6.0,6.0,6.125,176400.0,3.143282890319824
