Date,previous_1d,EMA_12,willr_14,OBV_7,labels
2000-01-24,4.396951198577882,4.259450076599799,-20.237908562853395,91957609.0,2.0
2000-01-25,4.523540019989014,4.300079298659678,-16.03364212032907,115224048.0,2.0
2000-01-26,4.400990962982178,4.315604170093908,-35.23197121938866,105394663.0,2.0
2000-01-27,4.399643898010254,4.3285333590041155,-51.735020705870525,77180955.0,2.0
2000-01-28,4.3026819229125985,4.324556214990036,-63.09149956298456,43145413.0,2.0
2000-02-14,4.4831390380859375,4.348953572389405,-41.95581816810989,80115218.0,0.0
2000-02-15,4.8777198791503915,4.430302234968019,-5.436321537244939,123720524.0,2.0
2000-02-16,4.675715923309326,4.468058187020527,-31.317169375095776,58110826.0,2.0
2000-02-17,4.476405143737793,4.4693423342077985,-51.2096793383647,25163907.0,2.0
2000-02-18,4.322882175445557,4.446810002090531,-66.53226842716938,-6643420.0,2.0
2000-02-21,4.456204891204834,4.448255369646577,-59.19283413102877,13133700.0,2.0
2000-02-22,4.508726119995117,4.457558562007891,-59.00821232176008,32456588.0,2.0
2000-02-23,4.3282690048217765,4.437667860902335,-81.15701734466712,14498800.0,1.0
2000-02-24,4.169360160827637,4.396389753198535,-96.36070267045025,-2030912.0,2.0
2000-02-28,4.2515082359313965,4.37410028900359,-86.70881643560863,6803636.0,0.0
2000-02-29,4.550474166870117,4.401234731752287,-49.02247159901688,56598967.0,2.0
2000-03-01,4.4104180335998535,4.402647547421143,-64.66159488505428,21253082.0,2.0
2000-03-02,4.2999892234802255,4.38685395912254,-76.9924349237315,3869582.0,2.0
2000-03-03,4.242081165313722,4.364581221613491,-83.45863700838707,-13914321.0,2.0
2000-03-06,4.3040289878845215,4.355265493347496,-76.54134169353773,-1171546.0,2.0
2000-03-07,4.190907001495361,4.329979571524091,-89.17291055234428,-13726661.0,2.0
2000-03-08,4.3188419342041025,4.328266088859477,-67.25499548373955,-889901.0,2.0
2000-03-09,4.2959489822387695,4.323294226302445,-70.5882107902865,-8745391.0,2.0
2000-03-10,4.252853870391847,4.312457248470046,-72.74842238080853,-18151740.0,2.0
2000-03-13,4.1814799308776855,4.292306891917375,-84.98847399637087,-28754642.0,2.0
2000-03-14,4.216494083404541,4.2806433829154,-78.98383088543748,-22615981.0,2.0
2000-03-15,4.108757972717285,4.254199473654152,-89.2178498281252,-35926963.0,2.0
2000-03-16,4.0683579444885245,4.225608469167133,-95.5602250541976,-44727798.0,1.0
2000-03-17,3.926954984664917,4.179661779243715,-95.54032140514539,-56987530.0,2.0
2000-03-20,3.982168912887573,4.14927826134277,-87.72252082426344,-48729892.0,2.0
2000-03-21,4.0266098976135245,4.130406205384425,-78.8382483441958,-40515144.0,2.0
2000-03-22,4.0589308738708505,4.119410000536183,-69.34309021815989,-34173326.0,2.0
2000-03-23,4.062971115112306,4.1107270950863555,-68.61313302657823,-26324081.0,2.0
2000-03-24,4.042769908905028,4.100272143366151,-68.50844022590748,-35046420.0,2.0
2000-03-27,4.127612113952637,4.1044782926871495,-51.10498588568082,-22982442.0,2.0
2000-03-28,4.150506019592285,4.111559481441786,-44.09226901114695,-13998506.0,0.0
2000-03-29,4.155892848968507,4.11837999952282,-40.361375753354615,-5830428.0,2.0
2000-03-30,4.115491867065431,4.117935671452453,-46.153915992173545,-14002144.0,2.0
2000-03-31,4.104718208312988,4.115902215584843,-48.71804765557956,-23741969.0,2.0
2000-04-03,4.060276985168457,4.107344487828476,-47.52084979369657,-36826373.0,2.0
2000-04-04,4.0643181800842285,4.100725055867822,-46.28083574751977,-30387161.0,1.0
2000-04-05,4.013143062591554,4.087250903056089,-61.98358353085724,-38828375.0,2.0
2000-04-06,4.040077209472656,4.07999341173556,-53.7190179381381,-34903679.0,2.0
2000-04-07,4.085865020751953,4.0808967361996205,-41.73899656695946,-29995618.0,2.0
2000-04-10,4.062971115112306,4.078138948340033,-66.47032604484667,-35817102.0,2.0
2000-04-11,4.1855201721191415,4.094659136613743,-12.940985341102895,-22068233.0,2.0
2000-04-12,4.153199195861816,4.103665299574985,-27.05876472033925,-28775562.0,2.0
2000-04-13,4.106064796447754,4.104034452940026,-47.64703677012705,-34169703.0,2.0
2000-04-14,4.138385772705078,4.109319271365419,-33.52925739089108,-28911421.0,2.0
2000-04-17,4.231307029724121,4.128086618805219,-20.524099841205494,-6604837.0,0.0
2000-04-18,4.3619370460510245,4.164063607612266,-24.59455502252248,27803537.0,2.0
2000-04-19,4.330963134765625,4.189740457943552,-30.810755978919797,17245515.0,2.0
2000-04-20,4.256895065307616,4.200071935999562,-45.67558851366043,6451767.0,2.0
2000-04-21,4.22861385345459,4.204463000223412,-51.35138756109063,-634483.0,2.0
2000-04-24,4.22861385345459,4.208178516105131,-51.35138756109063,-634483.0,2.0
2000-04-25,4.177440166473389,4.20344953923871,-65.14277505417432,-6747964.0,2.0
2000-04-26,4.188212871551514,4.201105436517603,-66.66680972925762,-2514392.0,2.0
2000-04-27,4.174746036529541,4.197050144211747,-71.87510719213589,-7103954.0,2.0
2000-04-28,4.135692119598389,4.187610448117384,-84.9179638932006,-13058379.0,2.0
2000-05-08,4.2016801834106445,4.189775022777886,-70.4697731396273,-6841823.0,0.0
2000-05-09,4.2622809410095215,4.200929779428907,-55.369234772503944,226464.0,2.0
2000-05-10,4.165318965911865,4.1954511927339775,-84.04268543037627,-4050852.0,2.0
2000-05-11,4.041423797607422,4.171754670406815,-99.09645589303369,-10909878.0,2.0
2000-05-12,3.9929430484771733,4.144245190109947,-86.90477143922988,-16532156.0,2.0
2000-05-15,4.036036968231201,4.127597771359371,-77.57733993249653,-12534592.0,1.0
2000-05-16,3.949848890304565,4.100251789658631,-93.03030124201787,-15946165.0,2.0
2000-05-17,3.979475975036621,4.081670895101399,-84.26577560597553,-13115044.0,2.0
2000-05-18,3.9848630428314213,4.066777379367556,-82.62407407058622,-10765481.0,2.0
2000-05-19,4.0252628326416025,4.060390526025102,-71.98603266202453,-8450343.0,2.0
2000-05-22,4.040077209472656,4.057265400401649,-68.08512241196497,-4573898.0,2.0
2000-05-23,4.069704055786134,4.0591790396915695,-60.283804153412056,1477884.0,2.0
