,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.3348623812198639,55.55555555555556%,55.55555555555556%,31.5%,65.85365853658537%,55.38461538461539%,77.46478873239437%,-6.204706943962592%,-7.777238176262399%
1,0.27441859245300293,87.5%,55.55555555555556%,23.737373737373737%,55.670103092783506%,69.56521739130434%,87.75510204081633%,-55.86853644835422%,-48.34563047105195%
2,0.1834862381219864,75.0%,44.44444444444444%,14.925373134328359%,58.62068965517241%,53.191489361702125%,77.77777777777777%,-13.639891387753561%,-5.545324129943856%
3,0.2604651153087616,66.66666666666667%,80.0%,20.72538860103627%,53.68421052631579%,57.534246575342465%,80.43478260869566%,-21.577752652151666%,-7.669883276367181%
4,0.23222748935222626,50.0%,77.77777777777777%,19.587628865979383%,53.26086956521739%,61.53846153846154%,87.5%,-20.90332910995018%,-10.879329186439518%
5,0.3004694879055023,70.0%,60.0%,26.424870466321245%,51.64835164835165%,56.71641791044776%,85.18518518518519%,-40.33141617089625%,-41.56249103630067%
6,0.22477063536643982,54.54545454545455%,66.66666666666667%,19.402985074626866%,44.26229508196721%,45.535714285714285%,79.54545454545455%,-6.007906622161954%,35.77290673755644%
7,0.3333333432674408,50.0%,66.66666666666667%,30.456852791878173%,52.0%,56.0%,79.41176470588235%,-25.030440890197887%,-14.13141708526613%
8,0.2706421911716461,87.5%,62.5%,23.26732673267327%,49.42528735632184%,49.382716049382715%,89.79591836734694%,5.194675909393846%,-23.520909336075793%
9,0.3059360682964325,100.0%,54.54545454545455%,25.380710659898476%,59.25925925925926%,54.76190476190476%,83.01886792452831%,54.0946603706839%,-23.98520794264914%
