,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.22018349170684814,66.66666666666667%,77.77777777777777%,17.5%,55.42168674698795%,47.36842105263158%,84.61538461538461%,-9.822890804650832%,-7.30802773938658%
1,0.20000000298023224,62.5%,66.66666666666667%,16.161616161616163%,45.833333333333336%,54.8780487804878%,88.88888888888889%,-66.67335972200156%,-48.998182398364555%
2,0.12844036519527435,62.5%,77.77777777777777%,7.960199004975125%,56.32183908045977%,53.211009174311926%,66.66666666666667%,-9.262646879797048%,-5.545324129943856%
3,0.24186046421527863,33.333333333333336%,90.0%,20.207253886010363%,56.09756097560975%,56.17977528089887%,88.37209302325581%,-30.315650734213666%,-7.669883276367181%
4,0.2132701426744461,62.5%,77.77777777777777%,17.010309278350515%,54.76190476190476%,50.0%,82.3529411764706%,-29.8404479066374%,-10.879329186439518%
5,0.18309858441352844,70.0%,70.0%,12.953367875647668%,45.45454545454545%,47.72727272727273%,84.0%,-41.49179580162774%,-41.56249103630067%
6,0.0917431190609932,72.72727272727273%,83.33333333333333%,3.482587064676617%,55.55555555555556%,47.794117647058826%,77.77777777777777%,10.159409673538066%,35.77290673755644%
7,0.2009132355451584,70.0%,91.66666666666667%,13.197969543147208%,46.34146341463415%,53.211009174311926%,85.18518518518519%,-21.160561384220273%,-14.13141708526613%
8,0.15596330165863037,37.5%,75.0%,12.376237623762377%,46.59090909090909%,50.0%,79.3103448275862%,-30.898315970657098%,-23.520909336075793%
9,0.2283104956150055,72.72727272727273%,72.72727272727273%,17.258883248730964%,55.26315789473684%,50.0%,84.21052631578948%,-13.125329365024681%,-23.98520794264914%
