,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.29816514253616333,55.55555555555556%,55.55555555555556%,27.5%,64.55696202531645%,55.26315789473684%,76.19047619047619%,-12.533066646060998%,-7.777238176262399%
1,0.3255814015865326,62.5%,55.55555555555556%,30.303030303030305%,51.111111111111114%,67.21311475409836%,87.5%,-59.66244711050517%,-48.34563047105195%
2,0.19266055524349213,75.0%,55.55555555555556%,15.422885572139304%,60.91954022988506%,50.0%,80.55555555555556%,-10.394852725324727%,-5.545324129943856%
3,0.25581395626068115,58.333333333333336%,80.0%,20.72538860103627%,50.54945054945055%,54.54545454545455%,80.43478260869566%,-20.46866953962215%,-7.669883276367181%
4,0.2985782027244568,50.0%,77.77777777777777%,26.804123711340207%,54.651162790697676%,65.21739130434783%,89.0909090909091%,-14.159606436357608%,-10.879329186439518%
5,0.3661971688270569,80.0%,50.0%,33.67875647668394%,49.411764705882355%,57.6271186440678%,83.82352941176471%,-52.641857052672016%,-41.56249103630067%
6,0.20642201602458954,63.63636363636363%,66.66666666666667%,16.915422885572138%,48.611111111111114%,50.0%,83.78378378378379%,9.75530523063657%,35.77290673755644%
7,0.35159817337989807,70.0%,83.33333333333333%,30.456852791878173%,51.25%,57.333333333333336%,88.88888888888889%,-14.900006922130723%,-14.13141708526613%
8,0.2568807303905487,87.5%,62.5%,21.782178217821784%,48.86363636363637%,49.397590361445786%,86.95652173913044%,9.059819119077748%,-23.520909336075793%
9,0.310502290725708,90.9090909090909%,81.81818181818181%,24.873096446700508%,53.94736842105263%,57.77777777777778%,84.61538461538461%,-33.263579409945%,-23.98520794264914%
