,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.34403669834136963,77.77777777777777%,77.77777777777777%,30.5%,51.68539325842696%,46.875%,79.6875%,-4.128339361150338%,-7.30802773938658%
1,0.2604651153087616,75.0%,66.66666666666667%,22.22222222222222%,48.598130841121495%,58.73015873015873%,84.0909090909091%,-58.0643579493929%,-48.998182398364555%
2,0.25229358673095703,100.0%,55.55555555555556%,20.895522388059703%,60.0%,53.246753246753244%,82.22222222222223%,-9.363209503302642%,-5.545324129943856%
3,0.25581395626068115,66.66666666666667%,50.0%,21.761658031088082%,54.80769230769231%,54.83870967741935%,81.25%,-20.37234089352495%,-7.669883276367181%
4,0.274881511926651,75.0%,33.333333333333336%,25.257731958762886%,53.46534653465346%,56.14035087719298%,80.76923076923077%,-24.249221926581985%,-10.879329186439518%
5,0.24413146078586578,60.0%,50.0%,21.243523316062177%,44.11764705882353%,49.23076923076923%,80.0%,-41.281806185939395%,-41.56249103630067%
6,0.2752293646335602,90.9090909090909%,50.0%,23.383084577114428%,51.94805194805195%,49.45054945054945%,87.75510204081633%,11.724921773872337%,35.77290673755644%
7,0.35159817337989807,80.0%,58.333333333333336%,31.472081218274113%,46.15384615384615%,58.333333333333336%,83.58208955223881%,-15.198498883705177%,-14.13141708526613%
8,0.22018349170684814,62.5%,75.0%,18.316831683168317%,45.54455445544554%,55.26315789473684%,85.0%,-41.935401728353725%,-23.520909336075793%
9,0.35159817337989807,63.63636363636363%,45.45454545454545%,32.994923857868024%,54.8780487804878%,49.20634920634921%,82.1917808219178%,-10.110268370345421%,-23.98520794264914%
