,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.2752293646335602,66.66666666666667%,66.66666666666667%,24.0%,56.32183908045977%,47.43589743589744%,76.92307692307692%,-8.321067742512296%,-7.30802773938658%
1,0.23255814611911774,75.0%,55.55555555555556%,19.696969696969695%,42.57425742574257%,54.285714285714285%,83.72093023255815%,-59.82419244171447%,-48.998182398364555%
2,0.197247713804245,87.5%,88.88888888888889%,13.930348258706468%,54.83870967741935%,54.73684210526316%,86.20689655172414%,-5.458990112116389%,-5.545324129943856%
3,0.2837209403514862,50.0%,70.0%,24.870466321243523%,55.55555555555556%,61.76470588235294%,83.92857142857143%,-33.39500844272025%,-7.669883276367181%
4,0.22274881601333618,50.0%,66.66666666666667%,19.072164948453608%,50.53763440860215%,54.666666666666664%,78.57142857142857%,-25.684358284680993%,-10.879329186439518%
5,0.22065727412700653,80.0%,50.0%,17.616580310880828%,47.0%,52.0%,81.08108108108108%,-39.685886064685725%,-41.56249103630067%
6,0.14220184087753296,90.9090909090909%,83.33333333333333%,7.960199004975125%,51.80722891566265%,47.00854700854701%,88.23529411764706%,16.345641975459948%,35.77290673755644%
7,0.2511415481567383,80.0%,66.66666666666667%,19.79695431472081%,50.57471264367816%,53.93258426966292%,83.33333333333333%,-25.716622141494916%,-14.13141708526613%
8,0.23394495248794556,62.5%,87.5%,19.306930693069308%,46.236559139784944%,51.80722891566265%,87.8048780487805%,-25.38736018513457%,-23.520909336075793%
9,0.23744292557239532,63.63636363636363%,72.72727272727273%,18.781725888324875%,55.55555555555556%,52.12765957446808%,76.74418604651163%,-24.833114336827574%,-23.98520794264914%
