,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.6146789193153381,33.333333333333336%,11.11111111111111%,65.0%,54.054054054054056%,39.473684210526315%,77.46478873239437%,-6.846663464515222%,-7.30802773938658%
1,0.6325581669807434,50.0%,22.22222222222222%,65.65656565656566%,56.81818181818182%,61.29032258064516%,85.61151079136691%,-24.170445895508667%,-48.998182398364555%
2,0.7431192398071289,25.0%,44.44444444444444%,77.61194029850746%,70.58823529411765%,67.6470588235294%,87.95180722891567%,6.47265147974249%,-5.545324129943856%
3,0.739534854888916,0.0%,40.0%,80.31088082901555%,50.0%,42.857142857142854%,85.54913294797687%,-8.724818847863663%,-7.669883276367181%
4,0.4360189437866211,25.0%,11.11111111111111%,45.876288659793815%,51.111111111111114%,51.5625%,76.23762376237623%,-19.134817185900317%,-10.879329186439518%
5,0.5539906024932861,10.0%,60.0%,57.512953367875646%,55.172413793103445%,58.333333333333336%,80.48780487804878%,-31.211656567015687%,-41.56249103630067%
6,0.7660550475120544,18.181818181818183%,16.666666666666668%,81.59203980099502%,58.8235294117647%,43.47826086956522%,85.31073446327683%,-0.5234761876679295%,35.77290673755644%
7,0.7351598143577576,10.0%,8.333333333333334%,80.71065989847716%,52.94117647058823%,52.17391304347826%,80.89887640449439%,-30.210420809516975%,-14.13141708526613%
8,0.4357798099517822,25.0%,50.0%,44.05940594059406%,42.25352112676056%,52.0%,84.375%,-47.8321197779002%,-23.520909336075793%
9,0.4429223835468292,54.54545454545455%,45.45454545454545%,43.65482233502538%,54.3859649122807%,62.6865671641791%,87.23404255319149%,-29.391913243643174%,-23.98520794264914%
