,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.6009174585342407,33.333333333333336%,11.11111111111111%,63.5%,58.92857142857143%,57.142857142857146%,78.72340425531915%,-9.125151241259664%,-7.777238176262399%
1,0.6744186282157898,37.5%,11.11111111111111%,71.21212121212122%,54.90196078431372%,90.9090909090909%,84.9673202614379%,-27.68439793420087%,-48.34563047105195%
2,0.7614678740501404,25.0%,22.22222222222222%,80.59701492537313%,55.172413793103445%,86.66666666666667%,87.86127167630057%,3.9843991503118925%,-5.545324129943856%
3,0.800000011920929,0.0%,30.0%,87.56476683937824%,50.0%,64.70588235294117%,86.48648648648648%,-20.71219810776589%,-7.669883276367181%
4,0.6872037649154663,12.5%,22.22222222222222%,73.19587628865979%,53.84615384615385%,58.62068965517241%,83.2258064516129%,-16.49947977055308%,-10.879329186439518%
5,0.751173734664917,10.0%,0.0%,82.38341968911917%,41.1764705882353%,61.111111111111114%,80.7909604519774%,-10.001312134695109%,-41.56249103630067%
6,0.7431192398071289,27.272727272727273%,33.333333333333336%,78.1094527363184%,38.888888888888886%,41.935483870967744%,86.9047619047619%,3.769556171989407%,35.77290673755644%
7,0.7168949842453003,10.0%,25.0%,77.66497461928934%,45.45454545454545%,46.15384615384615%,81.17647058823529%,7.158475455837287%,-14.13141708526613%
8,0.5825688242912292,12.5%,37.5%,60.89108910891089%,41.666666666666664%,55.55555555555556%,84.21052631578948%,-47.906362918296026%,-23.520909336075793%
9,0.6575342416763306,9.090909090909092%,0.0%,72.58883248730965%,60.714285714285715%,50.0%,82.71604938271605%,14.746483490016418%,-23.98520794264914%
