,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.7339449524879456,55.55555555555556%,22.22222222222222%,76.5%,59.375%,63.63636363636363%,81.70731707317073%,-11.565783517952005%,-7.777238176262399%
1,0.7302325367927551,25.0%,0.0%,78.28282828282828%,62.16216216216216%,55.55555555555556%,85.20710059171597%,-34.86491934328384%,-48.34563047105195%
2,0.6926605701446533,12.5%,33.333333333333336%,73.13432835820896%,58.333333333333336%,50.0%,86.16352201257861%,-8.207943820746005%,-5.545324129943856%
3,0.7302325367927551,25.0%,30.0%,78.23834196891191%,66.66666666666667%,51.851851851851855%,86.74698795180723%,-1.0883829350662744%,-7.669883276367181%
4,0.6445497870445251,12.5%,0.0%,69.58762886597938%,51.515151515151516%,51.851851851851855%,82.66666666666667%,-18.99364878754618%,-10.879329186439518%
5,0.751173734664917,30.0%,30.0%,79.79274611398964%,47.82608695652174%,54.54545454545455%,82.63473053892216%,-19.087250471389332%,-41.56249103630067%
6,0.7660550475120544,36.36363636363637%,33.333333333333336%,80.09950248756219%,55.0%,48.0%,86.62790697674419%,7.952803013324737%,35.77290673755644%
7,0.7625570893287659,10.0%,8.333333333333334%,83.75634517766497%,58.8235294117647%,72.22222222222223%,81.4207650273224%,-34.76409514123919%,-14.13141708526613%
8,0.5596330165863037,25.0%,25.0%,58.415841584158414%,42.42424242424242%,54.54545454545455%,83.72093023255815%,-25.43736342608824%,-23.520909336075793%
9,0.6575342416763306,36.36363636363637%,36.36363636363637%,69.03553299492386%,53.191489361702125%,58.333333333333336%,86.39455782312925%,21.898579529688213%,-23.98520794264914%
