,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.6376146674156189,44.44444444444444%,55.55555555555556%,65.0%,57.142857142857146%,43.18181818181818%,81.8840579710145%,-4.180562670910404%,-7.30802773938658%
1,0.6232557892799377,62.5%,33.333333333333336%,63.63636363636363%,54.54545454545455%,72.0%,87.31343283582089%,-40.609763038500056%,-48.998182398364555%
2,0.6743119359016418,37.5%,55.55555555555556%,69.1542288557214%,47.61904761904762%,65.3061224489796%,86.39455782312925%,4.783348022520549%,-5.545324129943856%
3,0.7534883618354797,25.0%,60.0%,79.27461139896373%,56.25%,66.66666666666667%,87.87878787878788%,1.985793325576724%,-7.669883276367181%
4,0.43127962946891785,37.5%,22.22222222222222%,44.329896907216494%,58.62068965517241%,54.54545454545455%,78.35051546391753%,-32.38738890206578%,-10.879329186439518%
5,0.5023474097251892,80.0%,70.0%,47.66839378238342%,48.275862068965516%,58.62068965517241%,88.54166666666667%,-6.716807591142733%,-41.56249103630067%
6,0.7201834917068481,27.272727272727273%,16.666666666666668%,76.11940298507463%,56.0%,40.74074074074074%,84.84848484848484%,22.39773028585425%,35.77290673755644%
7,0.7534246444702148,0.0%,8.333333333333334%,83.248730964467%,47.05882352941177%,52.94117647058823%,80.97826086956522%,-34.673518536567755%,-14.13141708526613%
8,0.6330274939537048,25.0%,0.0%,67.32673267326733%,43.13725490196079%,52.94117647058823%,83.22147651006712%,-44.264759962737685%,-23.520909336075793%
9,0.7168949842453003,18.181818181818183%,36.36363636363637%,76.6497461928934%,56.666666666666664%,68.18181818181819%,84.33734939759036%,-7.402309267512701%,-23.98520794264914%
