Date,previous_1d,EMA_12,willr_14,OBV_7,labels
2000-01-21,100.0,100.81360946745562,-64.0,-21460.0,2.0
2000-01-24,97.1875,100.25574647246245,-100.0,-28200.0,2.0
2000-01-25,96.25,99.6394777843913,-100.0,-32420.0,2.0
2000-01-26,93.125,98.63725043294649,-100.0,-42580.0,2.0
2000-01-27,94.0625,97.93344267403164,-90.0,-36840.0,2.0
2000-01-28,93.75,97.289836108796,-93.33333333333333,-42600.0,2.0
2000-01-31,93.125,96.64909209205815,-93.75,-47060.0,2.0
2000-02-01,90.625,95.72230869327997,-100.0,-56300.0,2.0
2000-02-02,90.0,94.84195350969844,-97.5,-58360.0,1.0
2000-02-03,88.75,93.90472989282176,-87.75510204081633,-68760.0,2.0
2000-02-04,88.75,93.11169452469534,-87.75510204081633,-68760.0,2.0
2000-02-07,92.1875,92.96951075166528,-61.36363636363636,-63460.0,2.0
2000-02-08,91.25,92.70497063602447,-68.18181818181817,-67980.0,2.0
2000-02-09,90.0,92.28882130740531,-77.27272727272727,-72240.0,2.0
2000-02-10,88.75,91.74438726011219,-86.04651162790698,-75540.0,2.0
2000-02-11,90.0,91.4760199893257,-72.97297297297297,-67220.0,2.0
2000-02-14,89.6875,91.20086306789098,-70.0,-71180.0,2.0
2000-02-15,88.125,90.72765336513852,-84.61538461538461,-73600.0,2.0
2000-02-16,88.75,90.42339900127105,-71.42857142857143,-69000.0,2.0
2000-02-17,89.0625,90.21402992415243,-66.66666666666666,-64560.0,2.0
2000-02-18,89.0625,90.03687147428282,-59.090909090909086,-64560.0,2.0
2000-02-22,88.4375,89.79081432439315,-68.18181818181817,-66820.0,2.0
2000-02-23,86.25,89.2460736591019,-84.61538461538461,-70860.0,2.0
2000-02-24,85.3125,88.64090848077852,-96.15384615384615,-117400.0,2.0
2000-02-25,85.0,88.0807687145049,-100.0,-131200.0,2.0
2000-02-28,84.375,87.51065045073491,-88.88888888888889,-135260.0,1.0
2000-02-29,84.0625,86.98016576600646,-92.59259259259258,-137660.0,2.0
2000-03-01,85.0,86.67552487892854,-72.72727272727272,-122640.0,2.0
2000-03-02,89.375,87.09082874370877,-9.09090909090909,-117220.0,0.0
2000-03-03,90.3125,87.58647047544588,-0.0,-107100.0,2.0
2000-03-06,89.375,87.86162886383882,-13.043478260869566,-111620.0,2.0
2000-03-07,89.6875,88.14253211555592,-8.695652173913045,-108840.0,2.0
2000-03-08,88.125,88.13983486700886,-30.434782608695656,-119940.0,2.0
2000-03-09,86.875,87.94524488746903,-47.82608695652174,-123920.0,2.0
2000-03-10,87.5,87.87674567401226,-39.130434782608695,-120160.0,2.0
2000-03-13,86.25,87.6264771087796,-56.52173913043479,-128020.0,1.0
2000-03-14,81.875,86.74163447665966,-100.0,-130420.0,2.0
2000-03-15,86.25,86.66599840332741,-48.148148148148145,-124940.0,2.0
2000-03-16,83.125,86.12122941820012,-85.18518518518518,-128860.0,2.0
2000-03-17,86.875,86.23719412309241,-37.93103448275862,-119940.0,2.0
2000-03-20,85.9375,86.19108733492435,-48.275862068965516,-122980.0,2.0
2000-03-21,85.3125,86.0559200526283,-55.17241379310345,-123880.0,2.0
2000-03-22,86.25,86.0857785060701,-44.827586206896555,-119160.0,2.0
2000-03-23,85.3125,85.96681258205932,-55.17241379310345,-122300.0,2.0
2000-03-24,85.3125,85.86614910789635,-51.85185185185185,-122300.0,2.0
2000-03-27,86.875,86.02135693745076,-30.769230769230766,-121480.0,2.0
2000-03-28,87.8125,86.29691740861219,-12.5,-118060.0,2.0
2000-03-29,86.875,86.38585319190263,-25.0,-121100.0,2.0
2000-03-30,86.875,86.46110654699453,-25.0,-121100.0,2.0
2000-03-31,86.25,86.42862861668767,-33.333333333333336,-123420.0,2.0
2000-04-03,88.125,86.68960882950496,-8.333333333333334,-119440.0,2.0
2000-04-04,89.6875,87.15082285573497,-0.0,-115700.0,2.0
2000-04-05,87.5,87.20454241639113,-28.571428571428573,-119580.0,2.0
2000-04-06,89.375,87.53845896771557,-11.11111111111111,-118860.0,2.0
2000-04-07,91.25,88.1094652803747,-0.0,-115820.0,2.0
2000-04-10,91.25,88.59262446800936,-8.333333333333334,-115820.0,0.0
2000-04-11,91.875,89.09760531908485,-4.0,-115300.0,2.0
2000-04-12,91.25,89.42874296230256,-12.0,-116300.0,2.0
2000-04-13,91.25,89.70893635271756,-21.42857142857143,-116300.0,2.0
2000-04-14,90.3125,89.80179229845332,-32.142857142857146,-120420.0,2.0
2000-04-17,91.875,90.1207473294605,-14.285714285714286,-118900.0,2.0
2000-04-18,90.9375,90.24640158646658,-25.0,-123020.0,2.0
2000-04-19,90.9375,90.35272441931787,-25.0,-123020.0,2.0
