Date,High,Low,Open,Close,Volume,Adj Close
2000-05-02,25.0625,22.375,24.875,24.0,2051300,24.0
2000-05-03,23.75,21.3125,23.6875,22.5,1734900,22.5
2000-05-04,23.625,20.5,23.5625,21.125,1235300,21.125
2000-05-05,22.0,20.5,20.75,20.875,1164400,20.875
2000-05-08,21.0625,20.0625,20.4375,20.25,750000,20.25
2000-05-09,21.125,19.75,20.625,20.1875,1221300,20.1875
2000-05-10,20.4375,17.8125,20.375,19.375,1240300,19.375
2000-05-11,20.25,19.5,19.875,20.0,1602200,20.0
2000-05-12,23.0,20.125,20.625,21.375,1807800,21.375
2000-05-15,22.25,20.1875,21.6875,21.6875,800900,21.6875
2000-05-16,22.5625,21.375,21.8125,22.25,646100,22.25
2000-05-17,22.75,21.375,21.625,21.875,861300,21.875
2000-05-18,24.3125,21.8125,21.875,24.0,1856900,24.0
2000-05-19,24.5,21.5,23.25,22.75,1248800,22.75
2000-05-22,23.125,19.75,23.125,20.0,1056700,20.0
2000-05-23,21.25,19.625,20.875,19.875,1311500,19.875
2000-05-24,20.25,19.125,19.9375,19.5,845700,19.5
2000-05-25,20.3125,18.0,19.75,18.1875,1078300,18.1875
2000-05-26,18.75,17.875,18.1875,18.0,367000,18.0
2000-05-30,20.625,18.0,18.0,20.0,446000,20.0
2000-05-31,20.875,19.125,20.6875,19.3125,1091600,19.3125
2000-06-01,20.75,19.5625,19.59375,20.125,1126000,20.125
2000-06-02,23.25,20.3125,20.6875,23.0,1646900,23.0
2000-06-05,23.0,21.0625,22.75,22.875,615800,22.875
2000-06-06,24.625,22.125,22.75,23.125,735300,23.125
2000-06-07,23.5,21.875,23.1875,22.25,299900,22.25
2000-06-08,23.75,22.0,22.25,22.625,476800,22.625
2000-06-09,23.875,22.625,22.8125,23.25,428200,23.25
2000-06-12,24.25,23.625,23.75,24.0625,665000,24.0625
2000-06-13,24.0,21.875,23.5625,23.4375,300500,23.4375
2000-06-14,23.3125,22.875,23.15625,22.9375,172600,22.9375
2000-06-15,23.25,21.75,22.625,23.0,323500,23.0
2000-06-16,23.0,20.8125,22.96875,21.0625,1229000,21.0625
2000-06-19,22.125,20.5,21.5625,21.25,358700,21.25
2000-06-20,22.5,21.3125,21.375,21.875,714400,21.875
2000-06-21,23.375,21.75,21.875,22.6875,488400,22.6875
2000-06-22,24.75,22.25,24.625,22.5,1281100,22.5
2000-06-23,26.5,21.0,22.8125,23.625,737900,23.625
2000-06-26,26.8125,23.0,23.875,23.625,473000,23.625
2000-06-27,23.75,22.375,23.625,22.9375,432100,22.9375
2000-06-28,24.0,22.5,23.0,23.4375,322500,23.4375
2000-06-29,23.9375,22.5,23.125,23.0625,308700,23.0625
2000-06-30,24.375,21.75,22.375,21.875,851400,21.875
2000-07-03,23.125,22.0,22.875,22.75,156400,22.75
2000-07-05,22.5,20.75,22.4375,21.5625,644700,21.5625
2000-07-06,22.0,20.0,21.5625,21.8125,382000,21.8125
2000-07-07,22.75,21.375,21.875,21.8125,1265000,21.8125
2000-07-10,24.6875,21.5,21.75,21.75,1233200,21.75
2000-07-11,23.25,21.0,21.625,22.0,1450100,22.0
2000-07-12,22.0625,21.5,22.0625,21.9375,217700,21.9375
2000-07-13,22.125,19.75,21.875,20.5,649500,20.5
2000-07-14,22.1875,20.25,22.1875,21.5625,586000,21.5625
2000-07-17,22.375,21.6875,22.0,22.0,787900,22.0
2000-07-18,22.0625,21.6875,22.0,21.9375,306900,21.9375
2000-07-19,21.875,20.125,21.875,20.25,335500,20.25
2000-07-20,21.75,20.25,20.9375,21.0,196300,21.0
2000-07-21,22.0,19.75,21.6875,20.5,618600,20.5
2000-07-24,21.125,20.125,20.375,20.75,352200,20.75
2000-07-25,21.1875,20.484375,20.6875,21.125,1118200,21.125
2000-07-26,21.1875,20.25,20.5,21.1875,1511700,21.1875
2000-07-27,21.15625,20.0,21.0625,20.0,1171200,20.0
2000-07-28,20.25,19.375,20.0,20.0,1541400,20.0
2000-07-31,22.25,20.0,20.0,22.125,678800,22.125
2000-08-01,21.875,21.0,21.75,21.625,397800,21.625
2000-08-02,22.0,21.0,21.25,21.75,312900,21.75
2000-08-03,20.875,20.125,20.8125,20.4375,755700,20.4375
2000-08-04,21.25,20.25,20.75,20.75,126300,20.75
2000-08-07,21.125,20.75,20.75,20.875,189600,20.875
2000-08-08,20.875,20.5,20.75,20.6875,267600,20.6875
2000-08-09,20.75,19.625,20.6875,20.0,6045100,20.0
2000-08-10,20.3125,16.5,20.21875,17.25,825300,17.25
2000-08-11,17.5,16.25,17.25,17.25,646400,17.25
2000-08-14,17.625,16.875,17.28125,17.0,200200,17.0
2000-08-15,18.5,17.25,17.5625,17.25,406900,17.25
2000-08-16,17.625,16.8125,17.5,17.125,258600,17.125
2000-08-17,17.25,16.375,16.9375,16.875,288700,16.875
2000-08-18,17.625,16.875,17.0,17.0,541600,17.0
2000-08-21,17.25,16.25,17.1875,16.25,702000,16.25
2000-08-22,17.25,16.25,16.25,16.75,645100,16.75
2000-08-23,17.375,16.5,16.75,17.0,337700,17.0
2000-08-24,17.9375,16.875,16.875,17.4375,332500,17.4375
2000-08-25,17.9375,17.1875,17.3125,17.6875,98500,17.6875
2000-08-28,17.9375,17.4375,17.5,17.625,467700,17.625
2000-08-29,17.625,17.125,17.5625,17.25,238600,17.25
2000-08-30,17.375,16.6875,17.125,17.375,769000,17.375
2000-08-31,17.5,16.875,17.375,17.0,130100,17.0
2000-09-01,17.5,16.875,17.25,17.5,136200,17.5
2000-09-05,17.625,17.1875,17.5,17.375,155300,17.375
2000-09-06,17.3125,16.875,17.125,16.9375,492400,16.9375
2000-09-07,17.1875,15.5,16.875,16.25,729400,16.25
2000-09-08,16.125,15.5,16.0625,15.5,833300,15.5
2000-09-11,16.5,15.75,15.75,16.5,596800,16.5
2000-09-12,17.0,16.5,16.5,16.625,291700,16.625
2000-09-13,17.125,16.0625,16.125,16.6875,91700,16.6875
2000-09-14,17.03125,15.75,17.0,15.875,97800,15.875
2000-09-15,16.125,14.875,15.875,14.875,189200,14.875
2000-09-18,15.0,11.375,14.875,12.0,835300,12.0
2000-09-19,13.125,12.125,12.59375,13.0625,545700,13.0625
2000-09-20,13.6875,12.75,13.125,13.3125,827300,13.3125
2000-09-21,13.75,12.5625,13.4375,12.8125,443400,12.8125
2000-09-22,12.6875,11.625,12.1875,12.25,477300,12.25
2000-09-25,13.125,12.3125,12.6875,12.75,514000,12.75
2000-09-26,12.875,11.375,12.65625,11.5625,258000,11.5625
2000-09-27,12.25,10.75,11.75,10.75,314500,10.75
2000-09-28,11.25,10.125,10.8125,10.375,760300,10.375
2000-09-29,11.0,10.375,10.5625,10.875,876800,10.875
2000-10-02,11.375,10.625,11.0,11.0,169100,11.0
2000-10-03,12.9375,10.875,11.3125,11.875,361300,11.875
2000-10-04,12.5,11.375,11.875,12.125,657300,12.125
2000-10-05,12.5,11.75,12.1875,12.0625,199100,12.0625
2000-10-06,12.125,11.5,12.125,11.6875,286200,11.6875
2000-10-09,12.125,11.1875,11.625,12.0,213700,12.0
2000-10-10,12.0,10.625,11.75,10.8125,119100,10.8125
2000-10-11,10.6875,10.1875,10.5625,10.4375,224900,10.4375
2000-10-12,11.234375,10.375,10.875,10.875,208800,10.875
2000-10-13,11.875,10.75,10.9375,11.625,128400,11.625
2000-10-16,12.0625,10.5,11.75,11.0,139200,11.0
2000-10-17,11.5,9.625,11.5,9.9375,416200,9.9375
2000-10-18,10.75,9.8125,10.0,10.125,743000,10.125
2000-10-19,10.75,10.125,10.5625,10.5,851200,10.5
2000-10-20,11.125,10.5625,10.5625,10.9375,412300,10.9375
2000-10-23,11.0625,10.1875,11.0625,10.625,356300,10.625
2000-10-24,10.9375,9.75,10.75,10.0625,524100,10.0625
2000-10-25,10.0,9.1875,9.96875,9.65625,313800,9.65625
2000-10-26,10.1875,9.21875,9.625,10.125,394200,10.125
2000-10-27,10.1875,9.4375,10.1875,9.5,358400,9.5
2000-10-30,10.0,9.5,9.5625,10.0,74900,10.0
2000-10-31,10.125,9.875,10.0625,10.0625,564500,10.0625
2000-11-01,10.125,9.875,9.9375,10.0625,95300,10.0625
2000-11-02,10.375,9.8125,10.1875,10.125,368800,10.125
2000-11-03,10.75,9.875,10.0,10.625,672500,10.625
2000-11-06,10.75,9.8125,10.75,9.875,349200,9.875
2000-11-07,10.34375,9.5,9.8125,9.6875,325600,9.6875
2000-11-08,9.75,8.875,9.75,9.03125,250600,9.03125
2000-11-09,9.109375,8.375,9.0,8.5,214200,8.5
2000-11-10,8.625,7.6875,8.5625,7.8125,494300,7.8125
2000-11-13,8.375,7.625,7.84375,8.0625,307900,8.0625
