Date,previous_1d,EMA_12,willr_14,OBV_7,labels
2000-01-21,56.28125,56.412105522682445,-36.61417322834646,-25968400.0,2.0
2000-01-24,51.34375,55.63235851919284,-83.11258278145695,-50347200.0,2.0
2000-01-25,51.5625,55.00622643931702,-64.72148541114058,-21792600.0,1.0
2000-01-26,48.75,54.043730064037476,-88.59416445623341,-38890400.0,2.0
2000-01-27,50.3125,53.469694669570174,-75.3315649867374,-28647200.0,2.0
2000-01-28,52.03125,53.2483954896363,-60.742705570291776,-19658200.0,2.0
2000-01-31,50.15625,52.77268079892303,-76.657824933687,-29241600.0,2.0
2000-02-01,50.53125,52.42784529139641,-73.47480106100795,-24723400.0,2.0
2000-02-02,49.75,52.01586909272004,-80.10610079575596,-28767600.0,2.0
2000-02-03,49.3125,51.599966155378496,-83.55795148247978,-32688400.0,2.0
2000-02-04,48.90625,51.185548285320266,-87.06199460916442,-38948000.0,2.0
2000-02-07,47.375,50.59931008757869,-96.875,-46595800.0,2.0
2000-02-08,46.625,49.98787776641274,-97.06666666666666,-53060200.0,2.0
2000-02-09,47.875,49.66281964850309,-85.30259365994236,-46272400.0,2.0
2000-02-10,47.0,49.25315508719492,-92.83489096573209,-52528200.0,1.0
2000-02-11,45.71875,48.7094004583957,-92.69102990033224,-57796000.0,2.0
2000-02-14,46.875,48.4271850032579,-74.34782608695653,-52461000.0,2.0
2000-02-15,45.9375,48.04415654121822,-87.3913043478261,-57713200.0,2.0
2000-02-16,47.875,48.01813245795388,-60.434782608695656,-50849200.0,2.0
2000-02-17,47.0234375,47.86510246442251,-70.75688073394495,-56163800.0,2.0
2000-02-18,47.09375,47.746432854511355,-62.71186440677966,-51481400.0,2.0
2000-02-22,46.8203125,47.60395279997115,-66.90751445086705,-56133000.0,2.0
2000-02-23,46.4375,47.424498523052506,-71.69811320754717,-61359800.0,2.0
2000-02-24,45.3125,47.09957567335212,-94.23076923076923,-66716800.0,2.0
2000-02-25,44.25,46.66117941591333,-82.58426966292134,-73940000.0,2.0
2000-02-28,42.5625,46.03061335192667,-100.0,-81117200.0,2.0
2000-02-29,44.1875,45.747057451630255,-70.0,-74035600.0,2.0
2000-03-01,43.9375,45.46866399753329,-74.44444444444444,-80697400.0,2.0
2000-03-02,44.125,45.261946459451245,-71.11111111111111,-76543800.0,2.0
2000-03-03,43.65625,45.014916234920285,-79.44444444444444,-80109600.0,2.0
2000-03-06,44.21875,44.89242912185563,-69.44444444444444,-75207400.0,2.0
2000-03-07,43.71875,44.711863103108605,-78.33333333333333,-78876000.0,2.0
2000-03-08,30.5,42.52542262570728,-90.38461538461539,-216163200.0,2.0
2000-03-09,29.0,40.444588375598464,-97.6897689768977,-290747400.0,2.0
2000-03-10,28.875,38.66465170242947,-96.70510708401976,-324964600.0,1.0
2000-03-13,26.875,36.85085913282494,-97.54224270353303,-373526200.0,2.0
2000-03-14,28.625,35.58534234315956,-88.78504672897196,-337529400.0,2.0
2000-03-15,27.875,34.39913582882732,-92.1311475409836,-358271400.0,2.0
2000-03-16,29.25,33.606961085930806,-84.56375838926175,-333534000.0,2.0
2000-03-17,29.9375,33.04242861117222,-80.87248322147651,-306128800.0,2.0
2000-03-20,28.8125,32.39167036329957,-86.86868686868686,-328331200.0,2.0
2000-03-21,29.0625,31.879490307407327,-85.49747048903879,-316475200.0,2.0
2000-03-22,28.5,31.359568721652355,-88.53288364249579,-331408200.0,2.0
2000-03-23,28.5,30.919635072167377,-88.53288364249579,-331408200.0,2.0
2000-03-24,28.09375,30.484883522603166,-90.3677758318739,-345030000.0,2.0
2000-03-27,28.21875,30.136247596048833,-81.21019108280254,-330718400.0,1.0
2000-03-28,27.625,29.74990181204132,-72.02797202797203,-342627800.0,2.0
2000-03-29,28.5,29.557609225573422,-45.16129032258065,-330570200.0,2.0
2000-03-30,29.34375,29.524707806254433,-23.387096774193548,-314838600.0,2.0
2000-03-31,29.0,29.443983528369134,-34.48275862068966,-330846600.0,2.0
