Date,previous_1d,EMA_12,willr_14,OBV_7,labels
2000-01-21,63.375,65.17612795857988,-85.27131782945736,-26649200.0,2.0
2000-01-24,62.4375,64.75480058033682,-94.59459459459458,-33601700.0,2.0
2000-01-25,59.375,63.92713895259269,-83.60655737704917,-41401600.0,2.0
2000-01-26,61.125,63.49604065219382,-68.30601092896174,-34997800.0,2.0
2000-01-27,61.9375,63.256265167240926,-61.202185792349724,-30459400.0,2.0
2000-01-28,59.125,62.620685910742324,-85.79234972677595,-37782700.0,2.0
2000-01-31,55.125,61.46750346293581,-88.59649122807018,-51812100.0,1.0
2000-02-01,54.75,60.43404139171491,-91.2280701754386,-59784800.0,2.0
2000-02-02,58.6875,60.16534271606646,-60.84905660377358,-51425800.0,2.0
2000-02-03,58.375,59.88990537513316,-62.31884057971015,-57460400.0,2.0
2000-02-04,58.375,59.65684300972806,-62.31884057971015,-57460400.0,2.0
2000-02-07,56.3125,59.142328700539124,-78.26086956521739,-64010100.0,2.0
2000-02-08,55.75,58.62043197737926,-81.7258883248731,-70053800.0,0.0
2000-02-09,59.5,58.75575013470553,-45.45454545454545,-61477700.0,2.0
2000-02-10,57.8125,58.61063472936622,-58.68263473053892,-69694300.0,2.0
2000-02-11,57.0,58.36284477100219,-64.77987421383648,-74285900.0,2.0
2000-02-14,56.0625,58.008945575463386,-70.07299270072993,-79102600.0,2.0
2000-02-15,58.875,58.14218471769979,-37.22627737226277,-73299000.0,2.0
2000-02-16,58.0,58.120310145745975,-43.75,-83011100.0,2.0
2000-02-17,52.75,57.29410858486198,-99.15966386554622,-96596900.0,2.0
2000-02-18,48.375,55.92193803334475,-96.90721649484536,-121363600.0,2.0
2000-02-22,47.75,54.66471679744556,-96.11650485436893,-140758000.0,2.0
2000-02-23,48.125,53.65860652091547,-89.7196261682243,-128415400.0,2.0
2000-02-24,47.0,52.63420551769771,-98.13084112149532,-141289800.0,2.0
2000-02-25,47.875,51.90202005343652,-73.40823970037454,-121857900.0,1.0
2000-02-28,44.5,50.76324773752321,-93.63295880149813,-138766400.0,2.0
2000-02-29,46.1875,50.059286547135024,-83.52059925093633,-120930300.0,2.0
2000-03-01,48.75,49.85785784757579,-68.16479400749064,-103733100.0,2.0
2000-03-02,49.0,49.72587971717951,-63.967611336032384,-93567300.0,2.0
2000-03-03,50.5625,49.854590529921126,-53.84615384615384,-78024600.0,0.0
2000-03-06,52.625,50.280807371471724,-40.48582995951417,-67233800.0,2.0
2000-03-07,50.5,50.31452931432223,-51.50214592274678,-77727400.0,2.0
2000-03-08,47.5625,49.891140189041884,-68.42105263157895,-87452100.0,2.0
2000-03-09,48.3125,49.64827246765083,-51.5527950310559,-77433400.0,2.0
2000-03-10,48.9375,49.53892285724301,-44.303797468354425,-69488500.0,2.0
2000-03-13,47.9375,49.292550109974854,-54.43037974683544,-76494000.0,2.0
2000-03-14,47.6875,49.04561932382488,-56.962025316455694,-84221900.0,2.0
2000-03-15,47.75,48.84629327400567,-56.32911392405063,-74236900.0,2.0
2000-03-16,51.5,49.254555847235565,-18.70967741935484,-59566900.0,2.0
2000-03-17,54.625,50.08077802458394,-8.522727272727273,-39850900.0,2.0
2000-03-20,55.75,50.952966020801796,-4.705882352941177,-27213600.0,2.0
2000-03-21,55.125,51.594817402216904,-10.588235294117647,-33982700.0,2.0
2000-03-22,56.625,52.36869164802969,-0.0,-26128100.0,2.0
2000-03-23,55.375,52.83120062525589,-11.363636363636363,-36091600.0,2.0
2000-03-24,54.0,53.01101591367806,-23.863636363636363,-43117100.0,2.0
2000-03-27,55.5,53.39393654234297,-10.227272727272727,-35164200.0,2.0
2000-03-28,55.4375,53.708330920444055,-10.795454545454545,-40939100.0,2.0
2000-03-29,54.5,53.83012616345266,-19.767441860465116,-46736700.0,2.0
2000-03-30,58.75,54.58702983061379,-4.62962962962963,-33140000.0,2.0
2000-03-31,59.0,55.26594831821166,-11.764705882352942,-21569200.0,2.0
2000-04-03,56.5,55.45580242310218,-29.437229437229437,-30623200.0,2.0
2000-04-04,61.1875,56.33760205031723,-5.263157894736842,-18687500.0,2.0
