,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.32568806409835815,77.77777777777777%,66.66666666666667%,29.0%,54.54545454545455%,48.717948717948715%,83.87096774193549%,-8.256279001102484%,-7.30802773938658%
1,0.302325576543808,62.5%,44.44444444444444%,28.282828282828284%,48.86363636363637%,55.38461538461539%,81.9672131147541%,-58.3660597250754%,-48.998182398364555%
2,0.26146790385246277,75.0%,66.66666666666667%,22.388059701492537%,60.97560975609756%,51.16279069767442%,83.6734693877551%,-5.039868668222479%,-5.545324129943856%
3,0.3255814015865326,33.333333333333336%,70.0%,30.569948186528496%,52.325581395348834%,61.666666666666664%,82.3529411764706%,-34.58311529325255%,-7.669883276367181%
4,0.274881511926651,75.0%,44.44444444444444%,24.742268041237114%,54.94505494505494%,57.35294117647059%,90.19607843137256%,-17.584777549829596%,-10.879329186439518%
5,0.2863849699497223,80.0%,50.0%,24.870466321243523%,48.35164835164835%,52.17391304347826%,82.6923076923077%,-35.920376844054545%,-41.56249103630067%
6,0.19266055524349213,72.72727272727273%,66.66666666666667%,14.925373134328359%,52.11267605633803%,46.08695652173913%,93.54838709677419%,9.207225182704788%,35.77290673755644%
7,0.3378995358943939,70.0%,75.0%,29.441624365482234%,46.57534246575342%,50.617283950617285%,85.9375%,-36.026880855007306%,-14.13141708526613%
8,0.18807339668273926,62.5%,87.5%,14.356435643564357%,47.422680412371136%,55.056179775280896%,83.87096774193549%,-38.05744487449783%,-23.520909336075793%
9,0.29680365324020386,63.63636363636363%,63.63636363636363%,25.888324873096447%,55.4054054054054%,54.54545454545455%,83.92857142857143%,7.491598687541883%,-23.98520794264914%
