,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.2844036817550659,88.88888888888889%,77.77777777777777%,23.5%,67.5%,53.40909090909091%,82.0%,-10.959655178089216%,-7.777238176262399%
1,0.3488371968269348,62.5%,55.55555555555556%,32.82828282828283%,52.4390243902439%,73.4375%,84.05797101449275%,-52.970599781352355%,-48.34563047105195%
2,0.197247713804245,87.5%,55.55555555555556%,15.422885572139304%,57.30337078651685%,56.38297872340426%,88.23529411764706%,-13.950293679666592%,-5.545324129943856%
3,0.26511627435684204,58.333333333333336%,70.0%,22.27979274611399%,51.08695652173913%,57.534246575342465%,85.71428571428571%,-28.66191507502558%,-7.669883276367181%
4,0.2985782027244568,75.0%,66.66666666666667%,26.288659793814432%,57.142857142857146%,61.64383561643836%,92.45283018867924%,-8.045746449327652%,-10.879329186439518%
5,0.3708920180797577,70.0%,80.0%,33.16062176165803%,52.325581395348834%,52.459016393442624%,87.6923076923077%,-41.552163120856385%,-41.56249103630067%
6,0.22477063536643982,63.63636363636363%,66.66666666666667%,18.90547263681592%,47.45762711864407%,46.08695652173913%,83.72093023255815%,10.63320681823725%,35.77290673755644%
7,0.3059360682964325,80.0%,66.66666666666667%,25.888324873096447%,52.94117647058823%,57.142857142857146%,83.92857142857143%,-9.548061112518408%,-14.13141708526613%
8,0.2844036817550659,50.0%,62.5%,26.237623762376238%,44.44444444444444%,55.12820512820513%,81.03448275862068%,-37.42092946758169%,-23.520909336075793%
9,0.2557077705860138,63.63636363636363%,81.81818181818181%,20.304568527918782%,53.08641975308642%,54.83870967741935%,84.0909090909091%,3.9177312092666403%,-23.98520794264914%
