,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.197247713804245,88.88888888888889%,100.0%,13.0%,52.136752136752136%,51.351351351351354%,80.76923076923077%,-8.841691246862466%,-7.30802773938658%
1,0.20930232107639313,62.5%,66.66666666666667%,17.171717171717173%,47.82608695652174%,63.9344262295082%,81.57894736842105%,-71.05286398895208%,-48.998182398364555%
2,0.1651376187801361,100.0%,66.66666666666667%,10.945273631840797%,53.92156862745098%,53.333333333333336%,76.0%,-9.890809011149432%,-5.545324129943856%
3,0.20465116202831268,50.0%,60.0%,16.580310880829014%,50.0%,57.971014492753625%,82.05128205128206%,-31.664830684977822%,-7.669883276367181%
4,0.17061612010002136,62.5%,44.44444444444444%,13.917525773195877%,51.21951219512195%,50.0%,80.64516129032258%,-17.47094295930394%,-10.879329186439518%
5,0.18309858441352844,80.0%,40.0%,13.989637305699482%,45.45454545454545%,52.11267605633803%,77.41935483870968%,-49.19051641950143%,-41.56249103630067%
6,0.13302752375602722,100.0%,66.66666666666667%,6.965174129353234%,47.16981132075472%,47.422680412371136%,100.0%,19.08267446607584%,35.77290673755644%
7,0.26484018564224243,70.0%,75.0%,21.31979695431472%,46.22641509433962%,58.208955223880594%,84.44444444444444%,-25.161037339973607%,-14.13141708526613%
8,0.1834862381219864,100.0%,75.0%,12.871287128712872%,46.49122807017544%,56.578947368421055%,77.77777777777777%,-28.396723250172307%,-23.520909336075793%
9,0.21461187303066254,72.72727272727273%,54.54545454545455%,16.751269035532996%,51.0%,56.25%,78.94736842105263%,-31.757839723981895%,-23.98520794264914%
