,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.30733945965766907,66.66666666666667%,88.88888888888889%,26.5%,61.702127659574465%,62.6865671641791%,80.70175438596492%,-7.5938944238091795%,-7.777238176262399%
1,0.34418603777885437,75.0%,77.77777777777777%,30.80808080808081%,57.4468085106383%,76.78571428571429%,90.76923076923077%,-58.94183282436083%,-48.34563047105195%
2,0.23853211104869843,100.0%,44.44444444444444%,19.90049751243781%,65.11627906976744%,54.651162790697676%,88.88888888888889%,-9.243432340414584%,-5.545324129943856%
3,0.21395349502563477,58.333333333333336%,50.0%,17.616580310880828%,53.06122448979592%,54.54545454545455%,79.48717948717949%,-27.73676492513189%,-7.669883276367181%
4,0.22274881601333618,75.0%,66.66666666666667%,18.04123711340206%,52.83018867924528%,60.869565217391305%,85.71428571428571%,-26.016106915094987%,-10.879329186439518%
5,0.3380281627178192,60.0%,60.0%,31.088082901554404%,44.827586206896555%,56.666666666666664%,84.61538461538461%,-34.16458052374723%,-41.56249103630067%
6,0.1513761430978775,63.63636363636363%,83.33333333333333%,10.447761194029852%,51.282051282051285%,44.827586206896555%,86.95652173913044%,19.281480185699294%,35.77290673755644%
7,0.2602739632129669,70.0%,58.333333333333336%,21.82741116751269%,50.0%,59.42028985507246%,81.63265306122449%,-21.37508525348676%,-14.13141708526613%
8,0.18807339668273926,87.5%,100.0%,12.871287128712872%,45.0%,55.43478260869565%,88.0%,-37.53675868387602%,-23.520909336075793%
9,0.2557077705860138,90.9090909090909%,72.72727272727273%,19.289340101522843%,53.26086956521739%,55.81395348837209%,87.5%,-19.726274151222842%,-23.98520794264914%
