,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.30733945965766907,44.44444444444444%,77.77777777777777%,28.0%,61.64383561643836%,57.31707317073171%,80.95238095238095%,-11.14425395277749%,-7.777238176262399%
1,0.35348838567733765,75.0%,77.77777777777777%,31.818181818181817%,61.111111111111114%,66.66666666666667%,93.84615384615384%,-59.33807063684527%,-48.34563047105195%
2,0.19266055524349213,62.5%,55.55555555555556%,15.92039800995025%,60.256410256410255%,50.0%,86.48648648648648%,-6.080132664759221%,-5.545324129943856%
3,0.24186046421527863,50.0%,90.0%,19.17098445595855%,50.602409638554214%,55.55555555555556%,87.8048780487805%,-25.103025036091857%,-7.669883276367181%
4,0.24170616269111633,75.0%,66.66666666666667%,20.103092783505154%,58.02469135802469%,60.22727272727273%,90.2439024390244%,-10.322458172059287%,-10.879329186439518%
5,0.2957746386528015,50.0%,60.0%,26.94300518134715%,46.34146341463415%,52.11267605633803%,79.66101694915254%,-40.84283258729822%,-41.56249103630067%
6,0.18807339668273926,45.45454545454545%,83.33333333333333%,15.422885572139304%,50.847457627118644%,46.774193548387096%,85.29411764705883%,17.47174119709007%,35.77290673755644%
7,0.27397260069847107,80.0%,75.0%,21.82741116751269%,52.325581395348834%,57.64705882352941%,85.1063829787234%,-26.653344882774515%,-14.13141708526613%
8,0.2431192696094513,50.0%,87.5%,20.792079207920793%,48.23529411764706%,50.561797752808985%,88.37209302325581%,-34.74878423932448%,-23.520909336075793%
9,0.23744292557239532,81.81818181818181%,63.63636363636363%,18.274111675126903%,55.88235294117647%,54.12844036697248%,85.36585365853658%,29.498353057764724%,-23.98520794264914%
