,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.24770642817020416,88.88888888888889%,77.77777777777777%,19.5%,65.1685393258427%,62.06896551724138%,80.95238095238095%,-6.494552365286454%,-7.777238176262399%
1,0.33023256063461304,87.5%,66.66666666666667%,29.292929292929294%,53.68421052631579%,72.1311475409836%,93.22033898305085%,-52.37100976658831%,-48.34563047105195%
2,0.26605504751205444,75.0%,66.66666666666667%,22.885572139303484%,61.03896103896104%,53.333333333333336%,82.0%,-9.98786546178355%,-5.545324129943856%
3,0.25581395626068115,66.66666666666667%,80.0%,20.207253886010363%,56.8421052631579%,57.89473684210526%,83.72093023255815%,-17.497168278163716%,-7.669883276367181%
4,0.27962085604667664,75.0%,77.77777777777777%,23.711340206185568%,54.34782608695652%,65.27777777777777%,95.65217391304348%,-8.75470664939423%,-10.879329186439518%
5,0.3239436745643616,90.0%,70.0%,27.46113989637306%,50.0%,61.29032258064516%,88.88888888888889%,-49.025224185269%,-41.56249103630067%
6,0.2706421911716461,72.72727272727273%,66.66666666666667%,23.383084577114428%,51.666666666666664%,49.056603773584904%,90.19607843137256%,18.72815959945672%,35.77290673755644%
7,0.29680365324020386,90.0%,75.0%,23.85786802030457%,51.76470588235294%,60.97560975609756%,82.3529411764706%,-23.61438796699539%,-14.13141708526613%
8,0.25229358673095703,50.0%,75.0%,22.277227722772277%,48.93617021276596%,59.45945945945946%,87.75510204081633%,-21.646252428586713%,-23.520909336075793%
9,0.26484018564224243,100.0%,54.54545454545455%,20.81218274111675%,54.02298850574713%,55.172413793103445%,88.63636363636364%,1.251259118979924%,-23.98520794264914%
