,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.7568807601928711,33.333333333333336%,33.333333333333336%,79.5%,54.54545454545455%,60.0%,80.11695906432749%,-13.971269578518914%,-7.777238176262399%
1,0.7255814075469971,25.0%,0.0%,77.77777777777777%,65.71428571428571%,36.36363636363637%,87.57396449704142%,-51.61628959737723%,-48.34563047105195%
2,0.7385321259498596,25.0%,0.0%,79.1044776119403%,59.09090909090909%,36.36363636363637%,86.1271676300578%,4.895464871482818%,-5.545324129943856%
3,0.7953488230705261,33.333333333333336%,50.0%,83.93782383419689%,52.0%,80.0%,89.08045977011494%,17.65471328540567%,-7.669883276367181%
4,0.8056871891021729,0.0%,44.44444444444444%,85.56701030927834%,75.0%,68.42105263157895%,82.12290502793296%,-9.064397011752208%,-10.879329186439518%
5,0.7323943376541138,10.0%,30.0%,78.75647668393782%,44.44444444444444%,51.851851851851855%,82.63473053892216%,-43.80574162069561%,-41.56249103630067%
6,0.6972476840019226,18.181818181818183%,16.666666666666668%,74.12935323383084%,44.44444444444444%,43.24324324324324%,85.18518518518519%,5.601614554729422%,35.77290673755644%
7,0.6940639019012451,10.0%,25.0%,75.1269035532995%,60.714285714285715%,64.0%,81.81818181818181%,-27.887322019443513%,-14.13141708526613%
8,0.6559633016586304,12.5%,37.5%,68.81188118811882%,33.333333333333336%,48.0%,85.33333333333333%,-27.170190438620057%,-23.520909336075793%
9,0.7260273694992065,9.090909090909092%,18.181818181818183%,79.18781725888324%,57.69230769230769%,72.22222222222223%,85.05747126436782%,-33.21761431490427%,-23.98520794264914%
