,Test_accuracy,correct_buys,correct_sells,correct_holds,correct_low_buys,correct_high_sells,correct_mid_holds,Profit gained,buy_n_hold profit
0,0.6146789193153381,44.44444444444444%,33.333333333333336%,63.5%,52.63157894736842%,47.61904761904762%,81.02189781021897%,-5.897446748158945%,-7.30802773938658%
1,0.6325581669807434,62.5%,33.333333333333336%,64.64646464646465%,61.111111111111114%,66.66666666666667%,86.76470588235294%,-16.343050759745328%,-48.998182398364555%
2,0.7018348574638367,25.0%,33.333333333333336%,73.6318407960199%,71.42857142857143%,59.45945945945946%,85.53459119496856%,-0.6691757968068305%,-5.545324129943856%
3,0.7255814075469971,8.333333333333334%,40.0%,78.23834196891191%,56.52173913043478%,62.5%,86.82634730538922%,-11.902462233216756%,-7.669883276367181%
4,0.5734597444534302,50.0%,33.333333333333336%,58.76288659793814%,67.44186046511628%,47.72727272727273%,80.48780487804878%,-21.76057925191646%,-10.879329186439518%
5,0.5962441563606262,30.0%,50.0%,61.6580310880829%,53.65853658536585%,53.65853658536585%,83.07692307692308%,-35.1077277616251%,-41.56249103630067%
6,0.7614678740501404,27.272727272727273%,33.333333333333336%,80.09950248756219%,84.61538461538461%,43.75%,87.20930232558139%,12.10056447572706%,35.77290673755644%
7,0.7534246444702148,0.0%,16.666666666666668%,82.74111675126903%,33.333333333333336%,48.148148148148145%,81.86813186813187%,-22.56301014511113%,-14.13141708526613%
8,0.6697247624397278,0.0%,12.5%,71.78217821782178%,40.0%,60.869565217391305%,83.01886792452831%,-5.645408558067211%,-23.520909336075793%
9,0.7260273694992065,18.181818181818183%,36.36363636363637%,77.66497461928934%,58.064516129032256%,89.47368421052632%,83.92857142857143%,-3.8244360024220985%,-23.98520794264914%
